ID,source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet,android
42,Twitter for iPhone,8.11E+17,"""atmike_pence: Congratulations to atRealDonaldTrump; officially elected President of the United States today by the Electoral College!""",Tue Dec 20 02:50:25 +0000 2016,15417,,74081,FALSE,0
43,Twitter for iPhone,8.11E+17,"""atFranklin_Graham: Congratulations to President-elect atrealDonaldTrump--the electoral votes are in and it's official."" Thank you Franklin!",Tue Dec 20 02:46:01 +0000 2016,10436,,50087,FALSE,0
44,Twitter for Android,8.11E+17,"We did it! Thank you to all of my great supporters, we just officially won the election (despite all of the distorted and inaccurate media).",Mon Dec 19 23:51:41 +0000 2016,59296,,223249,FALSE,1
45,Twitter for Android,8.11E+17,"Today there were terror attacks in Turkey, Switzerland and Germany - and it is only getting worse. The civilized world must change thinking!",Mon Dec 19 23:21:11 +0000 2016,39339,,114387,FALSE,1
46,Twitter for Android,8.11E+17,"If my many supporters acted and threatened people like those who lost the election are doing, they would be scorned &amp; called terrible names!",Sun Dec 18 21:54:40 +0000 2016,36450,,135369,FALSE,1
47,Twitter for Android,8.10E+17,We should tell China that we don't want the drone they stole back.- let them keep it!,Sun Dec 18 00:59:25 +0000 2016,17978,,65643,FALSE,1
48,Twitter for iPhone,8.10E+17,"Thank you Alabama! From now on, it’s going to be hashtagAmericaFirst. Our goal is to bring back that wonderful phrase:… https://t.co/4UAazd7TmF",Sun Dec 18 00:12:05 +0000 2016,12972,,54845,FALSE,0
49,Twitter for iPhone,8.10E+17,China steals United States Navy research drone in international waters - rips it out of water and takes it to China in unprecedented act.,Sat Dec 17 13:57:20 +0000 2016,19390,,60926,FALSE,0
50,Twitter for Android,8.10E+17,"Mobile, Alabama today at 3:00 P.M. Last rally of the year - ""THANK YOU ALABAMA AND THE SOUTH"" Biggest of all crowds expected, see you there!",Sat Dec 17 13:20:23 +0000 2016,8227,,40187,FALSE,1
51,Twitter for Android,8.10E+17,"""atEazyMF_E: atrealDonaldTrump Many people are now saying you will be an extremely successful president! hashtagMakeAmericaGreatAgain""  Thank you!",Sat Dec 17 13:07:22 +0000 2016,7098,,35184,FALSE,1
52,Twitter for Android,8.10E+17,"Last night in Orlando, Florida, was incredible - massive crowd - THANK YOU FLORIDA! Today at 3:00 P.M. I will be in Alabama for last rally!",Sat Dec 17 13:05:02 +0000 2016,6411,,36034,FALSE,1
53,Twitter for iPhone,8.10E+17,Thank you Florida. My Administration will follow two simple rules: BUY AMERICAN and HIRE AMERICAN! hashtagICYMI- Watch:… https://t.co/3vgtzSJsFu,Sat Dec 17 03:52:01 +0000 2016,11064,,43359,FALSE,0
54,Twitter for iPhone,8.10E+17,"hashtagThankYouTour2016 

Tonight- Orlando, Florida 
Tickets: https://t.co/JwQeccp79N

Tomorrow- Mobile, Alabama
Tickets:… https://t.co/Cq5AwcuzT9",Fri Dec 16 16:54:28 +0000 2016,7043,,27831,FALSE,0
55,Twitter Web Client,8.10E+17,"Well, we all did it, together! I hope the ""MOVEMENT"" fans will go to D.C. on Jan 20th for the swearing in. Let's set the all time record!",Fri Dec 16 16:03:09 +0000 2016,18146,,70675,FALSE,0
56,Twitter for Android,8.10E+17,Are we talking about the same cyberattack where it was revealed that head of the DNC illegally gave Hillary the questions to the debate?,Fri Dec 16 11:09:19 +0000 2016,33487,,109285,FALSE,1
57,Twitter for iPhone,8.10E+17,"Thank you Pennsylvania! Together, we are going to MAKE AMERICA GREAT AGAIN! Watch here: https://t.co/7R382qWfWS… https://t.co/yB6u5FEfHq",Fri Dec 16 01:32:56 +0000 2016,8906,,38166,FALSE,0
58,Twitter for iPhone,8.10E+17,"Join me in Mobile, Alabama on Sat. at 3pm! hashtagThankYouTour2016 
Tickets: https://t.co/GGgbjl8Zo6 https://t.co/opKrWO4k0C",Thu Dec 15 22:27:16 +0000 2016,5573,,22280,FALSE,0
59,Twitter for iPhone,8.09E+17,"If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?",Thu Dec 15 14:24:29 +0000 2016,40668,,124069,FALSE,0
60,Twitter for Android,8.09E+17,"The media tries so hard to make my move to the White House, as it pertains to my business, so complex - when actually it isn't!",Thu Dec 15 13:28:54 +0000 2016,13779,,60839,FALSE,1
61,Twitter for Android,8.09E+17,"Thank you to Time Magazine and Financial Times for naming me ""Person of the Year"" - a great honor!",Thu Dec 15 13:09:14 +0000 2016,10718,,57035,FALSE,1
62,Twitter for Android,8.09E+17,"Has anyone looked at the really poor numbers of atVanityFair Magazine. Way down, big trouble, dead! Graydon Carter, no talent, will be out!",Thu Dec 15 13:05:55 +0000 2016,8908,,37361,FALSE,1
63,Twitter Web Client,8.09E+17,.atBillGates and atJimBrownNFL32 in my Trump Tower office yesterday- two great guys! https://t.co/4PjSOEU5y9,Wed Dec 14 18:07:55 +0000 2016,14126,,57955,FALSE,0
64,Twitter for iPhone,8.09E+17,"Thank you Wisconsin! My Administration will be focused on three very important words: jobs, jobs, jobs! Watch:… https://t.co/iEGWZLuiFE",Wed Dec 14 03:48:55 +0000 2016,9687,,42663,FALSE,0
65,Twitter for iPhone,8.09E+17,"Join me this Saturday at Ladd–Peebles Stadium in Mobile, Alabama! 
hashtagThankYouTour2016 

Tickets:… https://t.co/1RFmKCMgyw",Tue Dec 13 21:33:53 +0000 2016,6250,,23396,FALSE,0
66,Twitter for Android,8.09E+17,The thing I like best about Rex Tillerson is that he has vast experience at dealing successfully with all types of foreign governments.,Tue Dec 13 12:44:06 +0000 2016,14653,,58936,FALSE,1
67,Twitter for Android,8.09E+17,Wisconsin and Pennsylvania have just certified my wins in those states. I actually picked up additional votes!,Tue Dec 13 11:57:35 +0000 2016,18233,,77773,FALSE,1
68,Twitter for Android,8.09E+17,"I have chosen one of the truly great business leaders of the world, Rex Tillerson, Chairman and CEO of ExxonMobil, to be Secretary of State.",Tue Dec 13 11:43:38 +0000 2016,23120,,76990,FALSE,1
69,Twitter for Android,8.09E+17,"I will hold a press conference in the near future to discuss the business, Cabinet picks and all other topics of interest. Busy times!",Tue Dec 13 04:41:33 +0000 2016,10461,,46885,FALSE,1
70,Twitter for Android,8.09E+17,"Presidency. Two of my children, Don and Eric, plus executives, will manage them. No new deals will be done during my term(s) in office.",Tue Dec 13 04:32:01 +0000 2016,9693,,42985,FALSE,1
71,Twitter for Android,8.09E+17,"Even though I am not mandated by law to do so, I will be leaving my busineses before January 20th so that I can focus full time on the......",Tue Dec 13 04:26:13 +0000 2016,12083,,55971,FALSE,1
72,Twitter for Android,8.08E+17,I will be making my announcement on the next Secretary of State tomorrow morning.,Tue Dec 13 00:33:05 +0000 2016,16675,,63246,FALSE,1
73,Twitter for Android,8.08E+17,The final Wisconsin vote is in and guess what - we just picked up an additional 131 votes. The Dems and Green Party can now rest. Scam!,Mon Dec 12 23:40:48 +0000 2016,29567,,105021,FALSE,1
74,Twitter for iPhone,8.08E+17,"hashtagThankYouTour2016 

Tue: West Allis, WI. 

Thur: Hershey, PA. 

Fri: Orlando, FL. 

Sat: Mobile, AL. 

Tickets:… https://t.co/OJ8S7iVzFx",Mon Dec 12 22:25:52 +0000 2016,7803,,27048,FALSE,0
75,Twitter for Android,8.08E+17,The F-35 program and cost is out of control. Billions of dollars can and will be saved on military (and other) purchases after January 20th.,Mon Dec 12 13:26:13 +0000 2016,16338,,60204,FALSE,1
76,Twitter for Android,8.08E+17,"Unless you catch ""hackers"" in the act, it is very hard to determine who was doing the hacking. Why wasn't this brought up before election?",Mon Dec 12 13:21:20 +0000 2016,15776,,60049,FALSE,1
77,Twitter for Android,8.08E+17,Can you imagine if the election results were the opposite and WE tried to play the Russia/CIA card. It would be called conspiracy theory!,Mon Dec 12 13:17:54 +0000 2016,34274,,108230,FALSE,1
78,Twitter for Android,8.08E+17,"Just watched atNBCNightlyNews - So biased, inaccurate and bad, point after point. Just can't get much worse, although atCNN is right up there!",Mon Dec 12 01:02:14 +0000 2016,19928,,72028,FALSE,1
79,Twitter for Android,8.08E+17,Will be interviewed on atFoxNews at 10:00 P.M. Enjoy!,Mon Dec 12 00:32:28 +0000 2016,5389,,27885,FALSE,1
80,Twitter for Android,8.08E+17,"Whether I choose him or not for ""State""- Rex Tillerson, the Chairman &amp; CEO of ExxonMobil, is a world class player and dealmaker. Stay tuned!",Sun Dec 11 15:29:10 +0000 2016,12304,,52460,FALSE,1
81,Twitter for Android,8.08E+17,"I spent Friday campaigning with John Kennedy, of the Great State of Louisiana, for the U.S.Senate. The election is over - JOHN WON!",Sun Dec 11 13:51:47 +0000 2016,9851,,51114,FALSE,1
82,Twitter for Android,8.08E+17,"Being at the Army - Navy Game was fantastic. There is nothing like the spirit in that stadium. A wonderful experience, and congrats to Army!",Sun Dec 11 13:12:06 +0000 2016,13091,,79228,FALSE,1
83,Twitter for Android,8.08E+17,I will be interviewed today on Fox News Sunday with Chris Wallace at 10:00 (Eastern) Network. ENJOY!,Sun Dec 11 12:56:18 +0000 2016,5636,,30187,FALSE,1
84,Twitter for iPhone,8.08E+17,October 2015 - thanks Chris Wallace atFoxNewsSunday! https://t.co/VEsgPcWq7z,Sat Dec 10 19:09:13 +0000 2016,7237,,27721,FALSE,0
85,Twitter for iPhone,8.08E+17,"A very interesting read. Unfortunately, so much is true.
https://t.co/ER2BoM765M",Sat Dec 10 14:14:23 +0000 2016,12362,,31500,FALSE,0
86,Twitter for iPhone,8.08E+17,"Reports by atCNN that I will be working on The Apprentice during my Presidency, even part time, are ridiculous &amp; untrue - FAKE NEWS!",Sat Dec 10 14:11:49 +0000 2016,25193,,75035,FALSE,0
87,Twitter for Android,8.08E+17,"As a show of support for our Armed Forces, I will be going to The Army-Navy Game today. Looking forward to it, should be fun!",Sat Dec 10 12:38:24 +0000 2016,18630,,106381,FALSE,1
88,Twitter for Android,8.08E+17,I have NOTHING to do with The Apprentice except for fact that I conceived it with Mark B &amp; have a big stake in it. Will devote ZERO TIME!,Sat Dec 10 11:27:22 +0000 2016,11255,,49710,FALSE,1
89,Twitter for Android,8.08E+17,".atRudyGiuliani, one of the finest people I know and a former GREAT Mayor of N.Y.C., just took himself out of consideration for ""State"".",Sat Dec 10 11:19:24 +0000 2016,7176,,30158,FALSE,1
90,Twitter for iPhone,8.07E+17,"Thank you Michigan. We are going to bring back your jobs &amp; together, we will MAKE AMERICA GREAT AGAIN!
Watch:… https://t.co/EyLOo26FqW",Sat Dec 10 03:30:50 +0000 2016,9137,,38254,FALSE,0
91,Twitter for iPhone,8.07E+17,Thank you Louisiana! Get out &amp; vote for John Kennedy tomorrow. Electing Kennedy will help enact our agenda on behal… https://t.co/sHXeyreEZI,Fri Dec 09 22:13:21 +0000 2016,9048,,36425,FALSE,0
92,Twitter for iPhone,8.07E+17,"Join me live in Louisiana! Tomorrow, we need you to go to the polls &amp; send John Kennedy to the U.S. Senate. https://t.co/O0jtz0BKeL",Fri Dec 09 19:42:30 +0000 2016,5347,,23051,FALSE,0
93,Twitter for iPhone,8.07E+17,"THANK YOU IOWA!
hashtagThankYouTour2016 https://t.co/v6EB2OQMeO",Fri Dec 09 03:02:04 +0000 2016,9404,,40714,FALSE,0
94,Twitter for iPhone,8.07E+17,"Join me tomorrow! hashtagMAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: https://t.co/2UTwAg5V87",Thu Dec 08 23:12:11 +0000 2016,5904,,20652,FALSE,0
95,Twitter for iPhone,8.07E+17,"On my way to Des Moines, Iowa- will see you soon with atmike_pence. Join us! Tickets: https://t.co/1IuRTVwMSx hashtagThankYouTour2016",Thu Dec 08 22:55:24 +0000 2016,4076,,21863,FALSE,0
96,Twitter for iPhone,8.07E+17,Today we lost a great pioneer of air and space in John Glenn. He was a hero and inspired generations of future explorers. He will be missed.,Thu Dec 08 21:15:52 +0000 2016,20155,,95348,FALSE,0
97,Twitter for Android,8.07E+17,"If United Steelworkers 1999 was any good, they would have kept those jobs in Indiana. Spend more time working-less time talking. Reduce dues",Thu Dec 08 01:56:40 +0000 2016,14048,,57293,FALSE,1
98,Twitter for Android,8.07E+17,"Chuck Jones, who is President of United Steelworkers 1999, has done a terrible job representing workers. No wonder companies flee country!",Thu Dec 08 00:41:48 +0000 2016,12817,,49838,FALSE,1
99,Twitter for iPhone,8.07E+17,"Join me tomorrow in Des Moines, Iowa with Vice President-Elect atmike_pence - at 7:00pm!
hashtagThankYouTour2016 hashtagMAGA… https://t.co/Geq6sT70IT",Wed Dec 07 19:37:32 +0000 2016,6322,,27305,FALSE,0
100,Twitter for iPhone,8.07E+17,"We pause today to remember the 2,403 American heroes who selflessly gave their lives at Pearl Harbor 75 years ago...
https://t.co/r5eRLR24Q3",Wed Dec 07 18:38:00 +0000 2016,18545,,77162,FALSE,0
101,Twitter for Android,8.06E+17,I will be interviewed on the atTODAYshow at 7:30. Enjoy!,Wed Dec 07 12:18:56 +0000 2016,5342,,32203,FALSE,1
102,Twitter for iPhone,8.06E+17,"A great night in Fayetteville, North Carolina. Thank you! hashtagICYMI watch here: https://t.co/ZAuTgxKPpb https://t.co/EF9xRWmciA",Wed Dec 07 03:33:20 +0000 2016,7661,,36249,FALSE,0
103,Twitter for iPhone,8.06E+17,"Departing New York with General James 'Mad Dog' Mattis for tonight's rally in Fayetteville, North Carolina! See you… https://t.co/Z8sgJBWI09",Tue Dec 06 21:17:45 +0000 2016,14190,,70289,FALSE,0
104,Twitter Web Client,8.06E+17,Masa said he would never do this had we (Trump) not won the election!,Tue Dec 06 19:10:27 +0000 2016,13140,,48486,FALSE,0
105,Twitter Web Client,8.06E+17,"Masa (SoftBank) of Japan has agreed to invest $50 billion in the U.S. toward businesses and 50,000 new jobs....",Tue Dec 06 19:09:49 +0000 2016,28709,,88915,FALSE,0
106,Twitter for iPhone,8.06E+17,"Join me tonight in Fayetteville, North Carolina at 7pm! 
hashtagThankYouTour2016 
Tickets: https://t.co/79AHq3NC0v https://t.co/KoZCE7JeG7",Tue Dec 06 16:45:27 +0000 2016,6525,,26789,FALSE,0
107,Twitter for Android,8.06E+17,"Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!",Tue Dec 06 13:52:35 +0000 2016,42984,,141634,FALSE,1
108,Twitter for iPhone,8.06E+17,"hashtagThankYouTour2016 

12/6- North Carolina
https://t.co/79AHq3NC0v

12/8- Iowa
https://t.co/1IuRTVwMSx

12/9- Michiga… https://t.co/vcQaIJ8qoB",Mon Dec 05 23:06:43 +0000 2016,8156,,27009,FALSE,0
109,Twitter Web Client,8.06E+17,"If the press would cover me accurately &amp; honorably, I would have far less reason to ""tweet."" Sadly, I don't know if that will ever happen!",Mon Dec 05 16:00:27 +0000 2016,38653,,141203,FALSE,0
110,Twitter for iPhone,8.06E+17,I am thrilled to nominate Dr. atRealBenCarson as our next Secretary of the US Dept. of Housing and Urban Development… https://t.co/OJKuDFhP3r,Mon Dec 05 13:53:11 +0000 2016,27205,,107202,FALSE,0
111,Twitter for Android,8.06E+17,their country (the U.S. doesn't tax them) or to build a massive military complex in the middle of the South China Sea?  I don't think so!,Sun Dec 04 22:30:22 +0000 2016,14475,,51993,FALSE,1
112,Twitter for Android,8.06E+17,"Did China ask us if it was OK to devalue their currency (making it hard for our companies to compete), heavily tax our products going into..",Sun Dec 04 22:23:55 +0000 2016,20602,,67532,FALSE,1
113,Twitter for Android,8.06E+17,".atFoxNews will be re-running ""Objectified: Donald Trump,"" the ratings hit produced by the great Harvey Levin of TMZ, at 8:00 P.M. Enjoy!",Sun Dec 04 21:47:21 +0000 2016,6499,,31397,FALSE,1
114,Twitter for Android,8.05E+17,The Green Party just dropped its recount suit in Pennsylvania and is losing votes in Wisconsin recount. Just a Stein scam to raise money!,Sun Dec 04 18:58:43 +0000 2016,25524,,95381,FALSE,1
115,Twitter for Android,8.05E+17,expensive mistake! THE UNITED STATES IS OPEN FOR BUSINESS,Sun Dec 04 12:23:27 +0000 2016,14892,,58188,FALSE,1
116,Twitter for Android,8.05E+17,"these companies are able to move between all 50 states, with no tax or tariff being charged. Please be forewarned prior to making a very ...",Sun Dec 04 12:21:01 +0000 2016,10315,,42184,FALSE,1
117,Twitter for Android,8.05E+17,"wanting to sell their product, cars, A.C. units etc., back across the border. This tax will make leaving financially difficult, but.....",Sun Dec 04 12:05:35 +0000 2016,9654,,40464,FALSE,1
118,Twitter for Android,8.05E+17,"without retribution or consequence, is WRONG! There will be a tax on our soon to be strong border of 35% for these companies ......",Sun Dec 04 11:57:41 +0000 2016,12287,,48467,FALSE,1
119,Twitter for Android,8.05E+17,"fires its employees, builds a new factory or plant in the other country, and then thinks it will sell its product back into the U.S.  ......",Sun Dec 04 11:49:06 +0000 2016,11997,,46329,FALSE,1
120,Twitter for Android,8.05E+17,"The U.S. is going to substantialy reduce taxes and regulations on businesses, but any business that leaves our country for another country,",Sun Dec 04 11:41:47 +0000 2016,13697,,53412,FALSE,1
121,Twitter for Android,8.05E+17,"Just tried watching Saturday Night Live - unwatchable! Totally biased, not funny and the Baldwin impersonation just can't get any worse. Sad",Sun Dec 04 05:13:58 +0000 2016,27987,,115332,FALSE,1
122,Twitter for iPhone,8.05E+17,"Our great VPE, atmike_pence, is in Louisiana campaigning for John Kennedy for US Senate. John will be a tremendous help to us in Washington.",Sat Dec 03 19:13:01 +0000 2016,9224,,39351,FALSE,0
123,Twitter for iPhone,8.05E+17,State Treasurer John Kennedy is my choice for US Senator from Louisiana. Early voting today; election next Saturday.,Sat Dec 03 19:09:40 +0000 2016,9800,,39057,FALSE,0
124,Twitter for Android,8.05E+17,"""atTigerWoods: Can’t wait to get back out there and mix it up with the boys. –TW hashtagheroworldchallenge"" Great to have you back Tiger - Special!",Sat Dec 03 16:37:27 +0000 2016,9328,,37901,FALSE,1
125,Twitter for Android,8.05E+17,Rexnord of Indiana is moving to Mexico and rather viciously firing all of its 300 workers. This is happening all over our country. No more!,Sat Dec 03 03:06:41 +0000 2016,17475,,64422,FALSE,1
126,Twitter for Android,8.05E+17,Interesting how the U.S. sells Taiwan billions of dollars of military equipment but I should not accept a congratulatory call.,Sat Dec 03 01:41:30 +0000 2016,38805,,122905,FALSE,1
127,Twitter for Android,8.05E+17,The President of Taiwan CALLED ME today to wish me congratulations on winning the Presidency. Thank you!,Sat Dec 03 00:44:20 +0000 2016,24700,,111106,FALSE,1
128,Twitter for iPhone,8.05E+17,"Thank you Ohio! Together, we made history – and now, the real work begins. America will start winning again!… https://t.co/sVNSNJE7Uf",Fri Dec 02 02:45:18 +0000 2016,17283,,72196,FALSE,0
129,Twitter for iPhone,8.04E+17,"Heading to U.S. Bank Arena in Cincinnati, Ohio for a 7pm rally. 
Join me! Tickets: https://t.co/HiWqZvHv6M",Thu Dec 01 22:52:10 +0000 2016,5564,,31256,FALSE,0
130,Twitter for Android,8.04E+17,Getting ready to leave for the Great State of Indiana and meet the hard working and wonderful people of Carrier A.C.,Thu Dec 01 14:38:09 +0000 2016,9834,,57249,FALSE,1
131,Twitter for iPhone,8.04E+17,My thoughts and prayers are with those affected by the tragic storms and tornadoes in the Southeastern United States. Stay safe!,Thu Dec 01 14:37:57 +0000 2016,12077,,65724,FALSE,0
132,Twitter for Android,8.04E+17,Look forward to going to Indiana tomorrow in order to be with the great workers of Carrier. They will sell many air conditioners!,Thu Dec 01 03:48:35 +0000 2016,12632,,67597,FALSE,1
133,Twitter for iPhone,8.04E+17,'Donald Trump is already helping the working class' https://t.co/GTuNcQhLYx,Wed Nov 30 20:00:14 +0000 2016,14758,,52300,FALSE,0
